(-9.755433, -0.160084)
(-9.754443, -0.160092)
(-9.753453, -0.160100)
(-9.752463, -0.160108)
(-9.751473, -0.160116)
(-9.750483, -0.160124)
(-9.749493, -0.160132)
(-9.748502, -0.160140)
(-9.747512, -0.160149)
(-9.746522, -0.160157)
(-9.745532, -0.160165)
(-9.744542, -0.160173)
(-9.743552, -0.160181)
(-9.742562, -0.160189)
(-9.741571, -0.160197)
(-9.740581, -0.160206)
(-9.739591, -0.160214)
(-9.738601, -0.160222)
(-9.737611, -0.160230)
(-9.736621, -0.160238)
(-9.735630, -0.160246)
(-9.734640, -0.160254)
(-9.733650, -0.160263)
(-9.732660, -0.160271)
(-9.731670, -0.160279)
(-9.730680, -0.160287)
(-9.729690, -0.160295)
(-9.728699, -0.160303)
(-9.727709, -0.160312)
(-9.726719, -0.160320)
(-9.725729, -0.160328)
(-9.724739, -0.160336)
(-9.723749, -0.160344)
(-9.722759, -0.160352)
(-9.721768, -0.160360)
(-9.720778, -0.160369)
(-9.719788, -0.160377)
(-9.718798, -0.160385)
(-9.717808, -0.160393)
(-9.716818, -0.160401)
(-9.715828, -0.160410)
(-9.714837, -0.160418)
(-9.713847, -0.160426)
(-9.712857, -0.160434)
(-9.711867, -0.160442)
(-9.710877, -0.160450)
(-9.709887, -0.160459)
(-9.708896, -0.160467)
(-9.707906, -0.160475)
(-9.706916, -0.160483)
(-9.705926, -0.160491)
(-9.704936, -0.160499)
(-9.703946, -0.160508)
(-9.702956, -0.160516)
(-9.701965, -0.160524)
(-9.700975, -0.160532)
(-9.699985, -0.160540)
(-9.698995, -0.160549)
(-9.698005, -0.160557)
(-9.697015, -0.160565)
(-9.696025, -0.160573)
(-9.695034, -0.160581)
(-9.694044, -0.160590)
(-9.693054, -0.160598)
(-9.692064, -0.160606)
(-9.691074, -0.160614)
(-9.690084, -0.160622)
(-9.689094, -0.160631)
(-9.688103, -0.160639)
(-9.687113, -0.160647)
(-9.686123, -0.160655)
(-9.685133, -0.160663)
(-9.684143, -0.160672)
(-9.683153, -0.160680)
(-9.682162, -0.160688)
(-9.681172, -0.160696)
(-9.680182, -0.160705)
(-9.679192, -0.160713)
(-9.678202, -0.160721)
(-9.677212, -0.160729)
(-9.676222, -0.160737)
(-9.675231, -0.160746)
(-9.674241, -0.160754)
(-9.673251, -0.160762)
(-9.672261, -0.160770)
(-9.671271, -0.160779)
(-9.670281, -0.160787)
(-9.669291, -0.160795)
(-9.668300, -0.160803)
(-9.667310, -0.160812)
(-9.666320, -0.160820)
(-9.665330, -0.160828)
(-9.664340, -0.160836)
(-9.663350, -0.160844)
(-9.662360, -0.160853)
(-9.661369, -0.160861)
(-9.660379, -0.160869)
(-9.659389, -0.160877)
(-9.658399, -0.160886)
(-9.657409, -0.160894)
(-9.656419, -0.160902)
(-9.655428, -0.160910)
(-9.654438, -0.160919)
(-9.653448, -0.160927)
(-9.652458, -0.160935)
(-9.651468, -0.160943)
(-9.650478, -0.160952)
(-9.649488, -0.160960)
(-9.648497, -0.160968)
(-9.647507, -0.160976)
(-9.646517, -0.160985)
(-9.645527, -0.160993)
(-9.644537, -0.161001)
(-9.643547, -0.161010)
(-9.642557, -0.161018)
(-9.641566, -0.161026)
(-9.640576, -0.161034)
(-9.639586, -0.161043)
(-9.638596, -0.161051)
(-9.637606, -0.161059)
(-9.636616, -0.161067)
(-9.635626, -0.161076)
(-9.634635, -0.161084)
